Year,Cluster,Agency,Budget
2023,Camp Coordination / Management,IOM,300000
2023,Shelter and Non-Food Items,UNHCR,1404250
2023,Shelter and Non-Food Items,IOM,1680001
2023,Agriculture,WFP,3853666
2023,Agriculture,FAO,7000000
2023,Food Assistance,WFP,12499811
2023,Health,WHO,1500000
2023,Health,UNFPA,200000
2023,Protection,UNHCR,1352253
2023,Protection,UNICEF,495000
2023,Protection,UNFPA,700000
2023,Water Sanitation Hygiene,UNICEF,1005000
2023,Multi-purpose CASH,IOM,1020000
2023,Shelter and Non-Food Items,UNDP,550000
2023,Shelter and Non-Food Items,UNHCR,637000
2023,Shelter and Non-Food Items,IOM,148500
2023,Food Assistance,WFP,728860
2023,Health,WHO,369418
2023,Health,UNFPA,200000
2023,Health,IOM,401500
2023,Protection,UNHCR,63000
2023,Protection,UNICEF,293728
2023,Protection,UNFPA,200000
2023,Multi-purpose CASH,UNICEF,405624
2023,Camp Coordination / Management,UNHCR,1436500
2023,Camp Coordination / Management,WFP,127000
2023,Camp Coordination / Management,IOM,1436500
2023,Agriculture,FAO,500000
2023,Food Assistance,WFP,1500000
2023,Health,UNICEF,305000
2023,Health,UNFPA,165000
2023,Protection,UNICEF,305000
2023,Protection,UNFPA,789000
2023,Water Sanitation Hygiene,UNICEF,1500000
2023,Multi-Sector Refugee Assistance,IOM,1936000
2023,Agriculture,FAO,500000
2023,Food Assistance,WFP,3120000
2023,Health,WHO,508025
2023,Nutrition,UNICEF,876424
2023,Protection,UNOPS,250000
2023,Protection,UNICEF,350570
2023,Water Sanitation Hygiene,UNICEF,525854
2023,Common Services,WFP,2880000
2023,Health,UNFPA,500000
2023,Protection,UNHCR,2000000
2023,Protection,UNICEF,500000
2023,Common Services,WFP,999997
2023,Shelter and Non-Food Items,IOM,750000
2023,Agriculture,FAO,600000
2023,Food Assistance,WFP,1947501
2023,Health,WHO,1250084
2023,Health,UNFPA,150000
2023,Nutrition,WFP,202500
2023,Nutrition,UNICEF,576034
2023,Protection,UNICEF,350016
2023,Protection,UNFPA,350000
2023,Protection,IOM,450000
2023,Water Sanitation Hygiene,UNICEF,1674091
2023,Water Sanitation Hygiene,IOM,300000
2023,Common Services,WFP,802830
2023,Multi-Sector Refugee Assistance,UNHCR,4600002
2023,Camp Coordination / Management,UNHCR,0
2023,Camp Coordination / Management,IOM,656250
2023,Education,UNICEF,710946
2023,Shelter and Non-Food Items,UNHCR,3307405
2023,Shelter and Non-Food Items,UNICEF,382500
2023,Shelter and Non-Food Items,IOM,937500
2023,Agriculture,FAO,2130000
2023,Food Assistance,WFP,1200000
2023,Health,WHO,2250031
2023,Nutrition,UNICEF,540319
2023,Protection,UNHCR,280000
2023,Protection,UNICEF,850000
2023,Protection,UNFPA,2850001
2023,Water Sanitation Hygiene,UNICEF,4985067
2023,Multi-purpose CASH,WFP,2670000
2023,Agriculture,FAO,525000
2023,Food Assistance,WFP,798320
2023,Nutrition,WFP,375680
2023,Nutrition,UNICEF,616770
2023,Water Sanitation Hygiene,UNICEF,184230
2023,Health,WHO,750000
2023,Health,UNFPA,76598
2023,Health,IOM,80000
2023,Protection,UNHCR,1260000
2023,Protection,UNFPA,373981
2023,Protection,IOM,719998
2023,Water Sanitation Hygiene,UNICEF,599526
2023,Multi-purpose CASH,UNHCR,240000
2023,Multi-purpose CASH,WFP,1700000
2023,Shelter and Non-Food Items,UNHCR,679000
2023,Shelter and Non-Food Items,IOM,1750000
2023,Agriculture,FAO,1000000
2023,Food Assistance,UNHCR,678500
2023,Health,UNHCR,276000
2023,Health,WHO,3150000
2023,Health,UNFPA,649501
2023,Health,IOM,299000
2023,Nutrition,WFP,800000
2023,Nutrition,UNICEF,198000
2023,Protection,UNHCR,729000
2023,Protection,UNFPA,400502
2023,Protection,IOM,253000
2023,Water Sanitation Hygiene,UNHCR,937500
2023,Water Sanitation Hygiene,UNICEF,3498000
2023,Water Sanitation Hygiene,IOM,253000
2023,Common Services,IOM,989000
2023,Multi-purpose CASH,UNICEF,704000
2023,Multi-purpose CASH,IOM,3256000
2023,Agriculture,FAO,2500000
2023,Food Assistance,WFP,5000000
2023,Health,WHO,642200
2023,Nutrition,WHO,540800
2023,Nutrition,UNICEF,3099001
2023,Protection,OHCHR,299405
2023,Protection,WHO,507000
2023,Protection,UNICEF,615000
2023,Protection,UNFPA,2900000
2023,Water Sanitation Hygiene,UNICEF,1886000
2023,Education,UNICEF,108498
2023,Shelter and Non-Food Items,UNHCR,67287
2023,Health,WHO,100000
2023,Health,UNICEF,61204
2023,Health,UNFPA,138571
2023,Protection,UNICEF,27820
2023,Protection,UNFPA,24454
2023,Water Sanitation Hygiene,UNHCR,191508
2023,Water Sanitation Hygiene,UNICEF,80678
2023,Multi-purpose CASH,IOM,200000
2023,Shelter and Non-Food Items,UNHCR,1494000
2023,Shelter and Non-Food Items,IOM,1500000
2023,Health,WHO,3000000
2023,Protection,UNHCR,306000
2023,Protection,UNICEF,300000
2023,Protection,UNFPA,400000
2023,Water Sanitation Hygiene,UNICEF,3000000
2023,Agriculture,FAO,1400000
2023,Food Assistance,WFP,996000
2023,Health,WHO,350000
2023,Health,UNFPA,150000
2023,Nutrition,WFP,204000
2023,Nutrition,UNICEF,300000
2023,Protection,UNICEF,150000
2023,Protection,UNFPA,150000
2023,Water Sanitation Hygiene,UNICEF,300000
2023,Camp Coordination / Management,IOM,152000
2023,Shelter and Non-Food Items,UNHCR,500000
2023,Shelter and Non-Food Items,IOM,648000
2023,Food Assistance,WFP,896000
2023,Health,WHO,500011
2023,Health,UNICEF,270000
2023,Health,UNFPA,500000
2023,Nutrition,UNICEF,510000
2023,Protection,UN Women,300000
2023,Protection,UNICEF,419000
2023,Protection,UNFPA,600000
2023,Water Sanitation Hygiene,UNICEF,3701000
2023,Common Services,WFP,804011
2023,Agriculture,FAO,1260000
2023,Food Assistance,WFP,1800000
2023,Food Assistance,FAO,240000
2023,Nutrition,WFP,1200000
2023,Nutrition,UNICEF,1800000
2023,Water Sanitation Hygiene,UNICEF,700000
2023,Shelter and Non-Food Items,IOM,1300000
2023,Agriculture,FAO,800000
2023,Food Assistance,WFP,1199922
2023,Health,WHO,1240288
2023,Health,UNICEF,463950
2023,Health,UNFPA,300003
2023,Water Sanitation Hygiene,UNICEF,4691050
2023,Shelter and Non-Food Items,UNHCR,2610546
2023,Shelter and Non-Food Items,IOM,1500000
2023,Food Assistance,WFP,3000000
2023,Health,WHO,1500614
2023,Health,UNICEF,1204000
2023,Health,UNFPA,500000
2023,Protection,UNHCR,1845546
2023,Protection,UNICEF,1134500
2023,Protection,UNFPA,500000
2023,Water Sanitation Hygiene,UNICEF,3211500
2023,Agriculture,FAO,1000000
2023,Food Assistance,WFP,6000000
2023,Nutrition,UNICEF,2000000
2023,Shelter and Non-Food Items,UNRWA,3000000
2023,Food Assistance,WFP,2000000
2023,Health,WHO,2000000
2023,Health,UNICEF,1000000
2023,Water Sanitation Hygiene,UNICEF,1000000
2023,Common Services,UNRWA,3000000
2023,Camp Coordination / Management,IOM,375002
2023,Education,UNICEF,262919
2023,Shelter and Non-Food Items,IOM,750004
2023,Agriculture,FAO,410000
2023,Food Assistance,WFP,1500000
2023,Health,WHO,699142
2023,Health,UNICEF,154658
2023,Health,UNFPA,569727
2023,Nutrition,UNICEF,262919
2023,Protection,UNICEF,185590
2023,Protection,UNFPA,642459
2023,Water Sanitation Hygiene,UNICEF,680496
2023,Multi-purpose CASH,IOM,375001
2023,Camp Coordination / Management,UNHCR,930000
2023,Shelter and Non-Food Items,UNHCR,4170000
2023,Agriculture,FAO,3000000
2023,Health,WHO,4499945
2023,Health,UNICEF,2955000
2023,Health,UNFPA,1125000
2023,Health,IOM,690000
2023,Nutrition,WFP,3000000
2023,Nutrition,UNICEF,3060000
2023,Nutrition,IOM,465000
2023,Protection,UNHCR,900000
2023,Protection,UNFPA,2125000
2023,Protection,IOM,345000
2023,Water Sanitation Hygiene,UNICEF,4735000
2023,Common Services,UNDP,996137
2023,Common Services,WFP,6000489
2023,Multi-Sector Refugee Assistance,UNHCR,500000
2023,Multi-purpose CASH,IOM,2500000
2023,Shelter and Non-Food Items,WFP,322000
2023,Agriculture,FAO,400000
2023,Food Assistance,WFP,378000
2023,Health,WHO,400000
2023,Education,UNICEF,1000000
2023,Shelter and Non-Food Items,UNHCR,2000000
2023,Agriculture,FAO,5000000
2023,Food Assistance,WFP,4390000
2023,Food Assistance,FAO,1375000
2023,Health,WHO,5250000
2023,Nutrition,WFP,1485000
2023,Nutrition,UNICEF,1500000
2023,Protection,UNHCR,3000000
2023,Water Sanitation Hygiene,UNICEF,1800009
2023,Water Sanitation Hygiene,IOM,1200000
2023,Camp Coordination / Management,UNHCR,1000000
2023,Camp Coordination / Management,IOM,510000
2023,Agriculture,FAO,2499992
2023,Food Assistance,WFP,12470000
2023,Health,WHO,1200000
2023,Health,UNFPA,301008
2023,Nutrition,WFP,2530000
2023,Nutrition,UNICEF,1715000
2023,Protection,UNHCR,1000000
2023,Protection,UNICEF,299000
2023,Protection,UNFPA,1099009
2023,Water Sanitation Hygiene,UNICEF,986000
2023,Common Services,UNHCR,1400000
2023,Common Services,WFP,500000
2023,Common Services,IOM,6490000
2023,Shelter and Non-Food Items,UNHCR,2100000
2023,Food Assistance,WFP,3000000
2023,Health,WHO,5000000
2023,Health,UNFPA,320000
2023,Protection,UNHCR,900000
2023,Protection,UNICEF,900000
2023,Protection,UNFPA,680000
2023,Water Sanitation Hygiene,UNICEF,2100000
2023,Education,UNICEF,652500
2023,Shelter and Non-Food Items,UNHCR,2300000
2023,Shelter and Non-Food Items,UNICEF,337500
2023,Shelter and Non-Food Items,IOM,1125000
2023,Food Assistance,WFP,1260010
2023,Health,UNFPA,800000
2023,Protection,IOM,450000
2023,Water Sanitation Hygiene,UNDP,500225
2023,Water Sanitation Hygiene,UNICEF,1260000
2023,Water Sanitation Hygiene,IOM,675000
2023,Common Services,WFP,840006
2023,Camp Coordination / Management,IOM,185000
2023,Shelter and Non-Food Items,IOM,715000
2023,Agriculture,FAO,500000
2023,Nutrition,UNICEF,198000
2023,Water Sanitation Hygiene,UNICEF,1165281
2023,Agriculture,FAO,2900000
2023,Health,WHO,1100325
2023,Health,UNICEF,1984000
2023,Health,UNFPA,900008
2023,Health,IOM,468000
2023,Nutrition,WFP,2400000
2023,Nutrition,WHO,1100325
2023,Nutrition,UNICEF,2294000
2023,Water Sanitation Hygiene,UNICEF,1922000
2023,Multi-purpose CASH,UNHCR,1450000
2023,Multi-purpose CASH,IOM,1482000
2023,Agriculture,FAO,1200000
2023,Health,WHO,1196059
2023,Nutrition,UNICEF,598000
2023,Protection,UNFPA,500000
2023,Water Sanitation Hygiene,UNICEF,2502000
2023,Camp Coordination / Management,IOM,59973
2023,Shelter and Non-Food Items,UNHCR,154385
2023,Shelter and Non-Food Items,IOM,914592
2023,Food Assistance,IOM,299866
2023,Health,UNFPA,255870
2023,Health,IOM,164926
2023,Protection,UNHCR,343632
2023,Protection,UNICEF,264525
2023,Protection,UNFPA,312730
2023,Protection,IOM,59974
2023,Water Sanitation Hygiene,UNICEF,715199
2023,Shelter and Non-Food Items,UNHCR,1980004
2023,Shelter and Non-Food Items,IOM,1000000
2023,Food Assistance,WFP,13000000
2023,Protection,UNHCR,1020002
2023,Protection,UNOPS,612107
2023,Protection,,1000000
2023,Protection,UNFPA,2000011
2023,Shelter and Non-Food Items,UNHCR,1200000
2023,Shelter and Non-Food Items,IOM,1400000
2023,Food Assistance,WFP,5000000
2023,Health,UNFPA,400000
2023,Camp Coordination / Management,UNHCR,480000
2023,Shelter and Non-Food Items,UNHCR,2480000
2023,Agriculture,FAO,750000
2023,Food Assistance,WFP,750000
2023,Health,WHO,1000000
2023,Nutrition,WFP,500000
2023,Nutrition,UNICEF,510002
2023,Protection,UNHCR,1681500
2023,Protection,UNICEF,495003
2023,Protection,UNFPA,500336
2023,Water Sanitation Hygiene,UNICEF,495003
2023,Shelter and Non-Food Items,UNHCR,308000
2023,Shelter and Non-Food Items,IOM,500000
2023,Nutrition,UNICEF,1176000
2023,Protection,UNHCR,704000
2023,Protection,WFP,349999
2023,Protection,UNICEF,448000
2023,Protection,UNFPA,500000
2023,Water Sanitation Hygiene,UNICEF,1176000
2023,Multi-Sector Refugee Assistance,UNHCR,1188000
2023,Education,UNICEF,750000
2023,Food Assistance,WFP,2400000
2023,Nutrition,WFP,100000
2023,Nutrition,UNICEF,1000000
2023,Protection,UNICEF,1250000
2023,Protection,UNFPA,1500000
2023,Shelter and Non-Food Items,UNHCR,891151
2023,Shelter and Non-Food Items,IOM,697600
2023,Agriculture,FAO,500000
2023,Food Assistance,WFP,2428856
2023,Food Assistance,IOM,174400
2023,Health,WHO,448247
2023,Health,UNFPA,296000
2023,Nutrition,WHO,252139
2023,Nutrition,UNICEF,503739
2023,Protection,UNHCR,209036
2023,Protection,UNICEF,395795
2023,Protection,UNFPA,504000
2023,Water Sanitation Hygiene,UNICEF,899535
2023,Common Services,WFP,800096
2023,Education,UNICEF,413961
2023,Agriculture,FAO,1000000
2023,Food Assistance,WFP,800000
2023,Health,WHO,1106977
2023,Health,UNFPA,134055
2023,Protection,UNHCR,1000000
2023,Protection,UNOPS,248000
2023,Protection,UN Women,468000
2023,Protection,UNICEF,543325
2023,Protection,UNFPA,475288
2023,Water Sanitation Hygiene,UNICEF,336344
2023,Camp Coordination / Management,UNHCR,675360
2023,Camp Coordination / Management,IOM,900000
2023,Education,UNICEF,1035701
2023,Shelter and Non-Food Items,UNHCR,2701440
2023,Shelter and Non-Food Items,IOM,1400000
2023,Agriculture,FAO,1250000
2023,Food Assistance,WFP,1246721
2023,Health,WHO,2303373
2023,Health,UNICEF,712045
2023,Health,UNFPA,1997522
2023,Health,IOM,200000
2023,Nutrition,UNICEF,1035701
2023,Protection,UNHCR,1447200
2023,Protection,UNICEF,1683014
2023,Protection,UNFPA,438480
2023,Water Sanitation Hygiene,UNICEF,2006671
2023,Common Services,WFP,979567
2023,Agriculture,UNDP,1500000
2023,Agriculture,FAO,1500000
2023,Health,WHO,500043
2023,Health,UNFPA,502030
2023,Water Sanitation Hygiene,UNICEF,1000000
2023,Agriculture,FAO,3480000
2023,Health,WHO,4312500
2023,Nutrition,WFP,2242500
2023,Nutrition,WHO,1437500
2023,Nutrition,UNICEF,1980000
2023,Protection,UNICEF,1020000
2023,Water Sanitation Hygiene,UNICEF,3000000
2023,Common Services,WFP,1007500
2023,Multi-purpose CASH,FAO,520000
2023,Multi-purpose CASH,IOM,4000000
2023,Camp Coordination / Management,IOM,693000
2023,Education,UNICEF,1000000
2023,Shelter and Non-Food Items,IOM,2145000
2023,Food Assistance,WFP,3200000
2023,Health,WHO,500000
2023,Protection,UNHCR,289993
2023,Water Sanitation Hygiene,IOM,462000
2023,Camp Coordination / Management,IOM,1026000
2023,Shelter and Non-Food Items,IOM,720000
2023,Health,WHO,1000000
2023,Nutrition,UNICEF,1199852
2023,Protection,UNHCR,1500000
2023,Protection,UNFPA,1000000
2023,Multi-purpose CASH,IOM,54000
2023,Agriculture,FAO,500000
2023,Food Assistance,WFP,3000000
2023,Health,WHO,499911
2023,Health,UNFPA,296000
2023,Protection,UNFPA,504000
2023,Water Sanitation Hygiene,UNICEF,1000000
2023,Multi-Sector Refugee Assistance,UNHCR,1000000
2023,Multi-purpose CASH,IOM,1201435
2023,Health,UNFPA,1120000
2023,Health,IOM,230000
2023,Nutrition,UNICEF,900000
2023,Protection,UNHCR,2000000
2023,Protection,UNFPA,880000
2023,Protection,IOM,770000
2023,Water Sanitation Hygiene,UNICEF,2100000
2023,Camp Coordination / Management,IOM,84000
2023,Education,UNICEF,499988
2023,Shelter and Non-Food Items,IOM,616000
2023,Agriculture,FAO,1500000
2023,Food Assistance,WFP,2494000
2023,Health,WHO,700000
2023,Health,UNFPA,301000
2023,Nutrition,WFP,261000
2023,Nutrition,UNICEF,1259968
2023,Protection,UNICEF,239994
2023,Protection,UNFPA,399000
2023,Common Services,WFP,145000
2023,Food Assistance,WFP,500000
2023,Nutrition,UNICEF,780000
2023,Protection,UNICEF,220000
2023,Water Sanitation Hygiene,UNICEF,1000000
2023,Common Services,WFP,1500000
2023,Education,UNHCR,313280
2023,Education,UNICEF,1209816
2023,Agriculture,FAO,760000
2023,Food Assistance,WFP,994022
2023,Food Assistance,FAO,240000
2023,Health,WHO,1000584
2023,Health,UNFPA,497350
2023,Nutrition,WFP,406009
2023,Nutrition,UNICEF,583304
2023,Protection,UNHCR,1110720
2023,Protection,UNICEF,367265
2023,Protection,UNFPA,517650
2023,Education,UNICEF,1166000
2023,Agriculture,FAO,1000000
2023,Food Assistance,WFP,1000000
2023,Protection,UNHCR,1150000
2023,Protection,UNICEF,1034000
2023,Protection,UNFPA,1150000
2023,Protection,IOM,300000
2023,Education,UNICEF,700000
2023,Shelter and Non-Food Items,UNHCR,1758581
2023,Agriculture,FAO,600000
2023,Food Assistance,WFP,1700000
2023,Health,WHO,499972
2023,Health,UNICEF,700000
2023,Health,UNFPA,397500
2023,Health,IOM,500000
2023,Protection,UNHCR,386030
2023,Protection,UNICEF,392000
2023,Protection,UNFPA,352500
2023,Protection,IOM,400000
2023,Water Sanitation Hygiene,UNICEF,1008000
2023,Education,UNICEF,195000
2023,Food Assistance,WFP,3000000
2023,Health,WHO,500000
2023,Protection,UNOPS,500000
2023,Protection,UN Women,700000
2023,Protection,UNICEF,598000
2023,Protection,UNFPA,700000
2023,Water Sanitation Hygiene,UNICEF,507000
2023,Nutrition,WFP,1902123
2023,Nutrition,WHO,1250066
2023,Nutrition,UNICEF,2332100
2023,Protection,UNFPA,1000025
2023,Education,UNICEF,560000
2023,Shelter and Non-Food Items,IOM,2925000
2023,Agriculture,FAO,500000
2023,Health,WHO,1500000
2023,Health,UNICEF,720000
2023,Nutrition,UNICEF,680000
2023,Protection,UNHCR,2585200
2023,Protection,UNICEF,680000
2023,Protection,UNFPA,1500000
2023,Water Sanitation Hygiene,UNICEF,1360000
2023,Water Sanitation Hygiene,IOM,1575000
2023,Common Services,WFP,3500293
2023,Shelter and Non-Food Items,UNHCR,5500000
2023,Shelter and Non-Food Items,UNRWA,400000
2023,Shelter and Non-Food Items,IOM,3000000
2023,Health,UNRWA,210000
2023,Health,WHO,6000000
2023,Protection,UNRWA,70000
2023,Protection,UNICEF,990000
2023,Protection,UNFPA,500000
2023,Water Sanitation Hygiene,UNICEF,7920000
2023,Common Services,UNICEF,90000
2023,Multi-purpose CASH,UNRWA,320000
2023,Food Assistance,WFP,2400000
2023,Health,UNHCR,2100000
2023,Nutrition,UNICEF,1000000
2023,Protection,UN Women,1000001
2023,Shelter and Non-Food Items,UNHCR,735000
2023,Shelter and Non-Food Items,IOM,135000
2023,Agriculture,FAO,1500000
2023,Food Assistance,WFP,1500000
2023,Health,WHO,840000
2023,Health,UNICEF,460000
2023,Health,UNFPA,450502
2023,Health,IOM,135000
2023,Nutrition,UNICEF,270000
2023,Protection,UNHCR,315000
2023,Protection,UNICEF,270000
2023,Protection,UNFPA,644501
2023,Protection,IOM,629999
2023,Water Sanitation Hygiene,WHO,360000
2023,Education,UNICEF,837001
2023,Shelter and Non-Food Items,UNHCR,3025000
2023,Shelter and Non-Food Items,IOM,3020000
2023,Agriculture,FAO,4000000
2023,Food Assistance,WFP,1000000
2023,Health,WHO,2150012
2023,Health,UNFPA,1239594
2023,Protection,UNFPA,2110661
2023,Water Sanitation Hygiene,UNICEF,1863001
2023,Multi-purpose CASH,IOM,755000